PATIENT_ID,PSMC1,BRCA1,MCM2,BRCA2
TCGA.3C.AAAU.01,0.0535756,0.90068729,0.04495791,0.93908664
TCGA.3C.AALI.01,0.04160932,0.88262583,0.08512571,0.93429147
TCGA.3C.AALJ.01,0.03989198,0.85268418,0.15352699,0.94853074
TCGA.3C.AALK.01,0.03599436,0.85382056,0.24141458,0.92873924
TCGA.4H.AAAK.01,0.04148596,0.88735764,0.1547256,0.93546578
TCGA.5L.AAT0.01,0.03792542,0.86849501,0.09933042,0.86167434
TCGA.5T.A9QA.01,0.03632351,0.90918907,0.33630942,0.94699816
TCGA.A1.A0SB.01,0.02509139,0.91203648,0.07952582,0.12790371
TCGA.A1.A0SD.01,0.02271118,0.92658381,0.07480995,0.84770687
TCGA.A1.A0SE.01,0.0311445,0.92985266,0.09892616,0.92123716
TCGA.A1.A0SF.01,0.02272837,0.93570771,0.05348396,0.8711021
TCGA.A1.A0SG.01,0.03415505,0.93891376,0.08647489,0.85597789
TCGA.A1.A0SH.01,0.02983359,0.93990686,0.22568748,0.90318162
TCGA.A1.A0SI.01,0.03031437,0.91654579,0.04621669,0.88396509
TCGA.A1.A0SJ.01,0.02943407,0.90287087,0.03900491,0.9241252
TCGA.A1.A0SK.01,0.03344995,0.92155689,0.50781005,0.94116773
TCGA.A1.A0SM.01,0.03346098,0.92173404,0.04191316,0.89392573
TCGA.A1.A0SN.01,0.02264968,0.92707615,0.04030901,0.89214461
TCGA.A1.A0SO.01,0.04995066,0.92393046,0.05934353,0.81947564
TCGA.A1.A0SP.01,0.03115035,0.90248854,0.14768451,0.47993607
TCGA.A1.A0SQ.01,0.02799378,0.93705746,0.0295753,0.95384601
TCGA.A2.A04N.01,0.02032047,0.89957582,0.03888766,0.80454934
TCGA.A2.A04P.01,0.01661674,0.85866208,0.0459047,0.55168765
TCGA.A2.A04Q.01,0.02210412,0.94468078,0.04866572,0.71758677
TCGA.A2.A04R.01,0.04252212,0.91128267,0.34106069,0.95246896
TCGA.A2.A04T.01,0.0295279,0.89638081,0.05084061,0.76085963
TCGA.A2.A04U.01,0.01595581,0.94030651,0.40231094,0.18418242
TCGA.A2.A04V.01,0.0288066,0.94568864,0.13451417,0.94213763
TCGA.A2.A04W.01,0.03078573,0.86242637,0.12931024,0.74801865
TCGA.A2.A04X.01,0.02241904,0.9400867,0.04929033,0.80968006
TCGA.A2.A04Y.01,0.02286746,0.94490414,0.06344551,0.84278151
TCGA.A2.A0CK.01,0.02854479,0.93004632,0.21226502,0.92172116
TCGA.A2.A0CL.01,0.02069152,0.92616471,0.03754696,0.74361575
TCGA.A2.A0CM.01,0.01956446,0.93738174,0.08723603,0.82228216
TCGA.A2.A0CO.01,0.03714577,0.92298604,0.04960512,0.88352911
TCGA.A2.A0CP.01,0.02065458,0.9418374,0.10318816,0.87970473
TCGA.A2.A0CQ.01,0.02365782,0.9163772,0.05387653,0.88712048
TCGA.A2.A0CR.01,0.02633701,0.92221256,0.04614607,0.85702778
TCGA.A2.A0CS.01,0.02279073,0.90801317,0.06338164,0.79052193
TCGA.A2.A0CT.01,0.03164828,0.93053707,0.04414035,0.96237493
TCGA.A2.A0CU.01,0.03205169,0.95799629,0.0665426,0.9097049
TCGA.A2.A0CV.01,0.02340319,0.92030101,0.05763682,0.88442789
TCGA.A2.A0CW.01,0.03043055,0.88763902,0.03887286,0.83191859
TCGA.A2.A0CX.01,0.02526104,0.91433818,0.17113429,0.83835687
TCGA.A2.A0CZ.01,0.02019698,0.94735767,0.09726955,0.86073306
TCGA.A2.A0D0.01,0.02240272,0.89720818,0.04368327,0.45957377
TCGA.A2.A0D1.01,0.02136088,0.90467534,0.13012708,0.9247869
TCGA.A2.A0D2.01,0.02708816,0.94756996,0.04260304,0.48855261
TCGA.A2.A0D3.01,0.02886668,0.90579912,0.04386546,0.92572422
TCGA.A2.A0D4.01,0.02942762,0.94023504,0.1379724,0.9009031
TCGA.A2.A0EM.01,0.02212121,0.94020503,0.07891867,0.91129941
TCGA.A2.A0EN.01,0.02660475,0.91511676,0.03192062,0.87370636
TCGA.A2.A0EO.01,0.0287504,0.94171185,0.08118889,0.91130765
TCGA.A2.A0EP.01,0.03010726,0.91552719,0.04392063,0.85758
TCGA.A2.A0EQ.01,0.0184385,0.94255769,0.10412527,0.82496519
